movie_id,keyword_id
1379045,9706
1379045,156866
1379045,210608
1379045,251502
1379045,330389
1327862,6270
1327862,818
1327862,12335
1327862,5922
1327862,10201
1327862,9844
1327862,11696
1327862,10614
1327862,12279
1327862,175421
1327862,198522
1327862,208397
1327862,233083
1327862,240315
1327862,241738
1327862,245358
1327862,252104
1327862,269719
1327862,285623
1327862,316396
1327862,325435
1327862,343234
1327862,345457
80633,317736
1563396,15302
1563396,34152
1563396,161205
1563396,227069
1563396,310396
1563396,359901
1563396,360612
1456907,252104
1456907,282551
1456907,286194
1456907,313069
1422096,2526
1422096,3358
1422096,6564
1422096,9720
1422096,10114
1422096,10541
1422096,15162
1422096,34079
1422096,162846
1422096,190821
1422096,207082
1422096,256183
1422096,281237
1282837,3458
1282837,3530
1282837,4552
1282837,41616
1282837,171691
1282837,355739
1329944,3307
1329944,11322
1329944,263548
1329944,278823
1567527,9706
1245993,242
1245993,818
1245993,1480
1245993,15011
1245993,179431
1245993,201125
1245993,210608
1245993,311315
1245993,314730
1245993,325855
1245993,345851
1567537,360770
973628,818
973628,10123
1567556,9706
424783,1576
424783,10542
424783,14544
424783,15285
424783,179431
424783,208289
424783,325762
1069905,554
1069905,1295
1069905,203322
1069905,257714
1069905,345473
1114967,290
1114967,299459
1246049,3133
1246049,15032
1246049,172841
1246049,261274
1246049,355250
1497970,2598
1497970,4379
1497970,15076
1497970,158628
1315702,236
1315702,310
1315702,818
1315702,2340
1315702,5769
1315702,5914
1315702,11930
1315702,14544
1315702,155251
1315702,360360
1481614,34079
1481614,232766
1481614,305941
916,612
916,822
916,818
916,6149
916,3713
916,582
916,703
916,4009
916,6083
916,4508
916,10291
916,11728
916,11612
916,12371
916,14601
916,34136
916,155751
916,156179
916,175208
916,197582
916,226581
916,226582
916,314730
916,321464
916,325778
916,325791
1360791,207317
1557399,10683
1557399,9673
1557399,14534
1557399,33494
1561498,321739
1444764,4680
1444764,3797
1444764,10121
1444764,163080
1444764,172971
1444764,176416
1444764,207406
1444764,208433
1444764,214793
1444764,215449
1444764,239601
1444764,258375
1444764,259376
1444764,263477
1444764,263548
1444764,282080
1444764,296443
1444764,297442
1444764,297942
1444764,303310
1444764,322980
1444764,339450
1444764,349773
1356701,1284
1356701,9673
1356701,163037
1356701,195624
1356701,250819
1356701,299386
1356701,339251
1352624,2957
1352624,1228
1352624,1700
1352624,5905
1352624,10051
1352624,10562
1352624,41393
1352624,187056
1352624,250043
582578,6876
1567666,270
1567666,3180
1567666,7368
1567666,18330
1567666,218174
1567666,223221
1567666,325283
1033148,818
1033148,11004
1033148,11322
1033148,187056
1194963,352721
1174492,163053
1174492,325763
1549292,10542
1205229,179430
1205229,183427
1205229,227581
1364977,13028
1364977,202798
1364977,296477
1364977,299344
1364977,331634
1317877,163053
1461260,1585
1461260,9672
1461260,14999
1461260,40931
1461260,162846
1461260,230191
1461260,269666
1461260,270308
1461260,315362
1383443,5565
1383443,294546
1317920,9714
1317920,15214
1317920,158718
1317920,258533
1319969,268132
1319969,271944
1319969,325765
1319969,325775
1086497,1228
1086497,5621
1086497,2466
1086497,3028
1086497,9672
1086497,10596
1086497,14641
1086497,154842
1086497,203322
1086497,258197
1309735,252104
1309735,275377
1483823,352384
1197137,2546
1197137,516
1197137,380
1197137,1442
1197137,1468
1197137,6152
1197137,9663
1197137,9826
1197137,10303
1197137,10714
1197137,10794
1197137,12339
1197137,156866
1197137,170865
1197137,173719
1197137,190107
1197137,208289
1197137,208611
1197137,234025
1197137,240485
1197137,241732
1197137,256183
1197137,273060
1197137,325793
1555551,10123
1555551,179567
1555556,263548
1555556,276022
1555556,285695
1182861,2671
1182861,12279
1182861,208021
1182861,262235
1445031,128
1445031,158718
1445031,207767
1445031,346871
1160360,612
1160360,2726
1160360,11322
1160360,176227
1160360,187056
1160360,244298
1160360,251667
1160360,339760
1494184,10651
1494184,14534
1494184,350338
9392,4210
9392,3762
9392,1852
9392,1963
9392,1964
9392,2147
9392,2754
9392,10292
9392,5248
9392,6399
9392,8624
9392,8796
9392,9713
9392,11322
9392,12392
9392,13031
9392,50009
9392,172291
9392,263392
9392,311971
9392,314730
1338552,1547
1338552,222
1338552,13014
1338552,18027
1338552,164039
1338552,210608
1338552,236343
988361,1450
988361,224472
1533130,10873
1565924,5609
1565924,10683
1565924,234858
1565924,355178
763144,9672
1309962,3725
1309962,2568
1309962,8201
1309962,187056
1309962,312522
795924,12190
795924,239709
1535268,6732
1535268,231401
1535268,269429
1535268,342278
1535268,346871
1144107,9663
1144107,239187
1144107,315535
1144107,348209
1242419,9672
1242419,33722
1242419,163150
1242419,169271
1013052,9882
1013052,12332
1013052,217103
1013052,221653
1301844,188775
1301844,208591
1301844,241782
1242454,4130
1242454,9672
1242454,41355
1242454,155170
1242454,207883
1242454,255873
1242454,328926
1527163,7161
1527163,242389
1527163,244783
1527163,356871
1564035,10789
1564035,12616
1564035,221355
1564035,263548
1564035,281649
1564035,316832
1254800,5165
1254800,10181
1254800,9826
1254800,14586
1254800,163764
1254800,187056
1551766,1233
1551766,207928
1551766,214455
1551766,246377
1551766,274542
1539493,2636
1539493,283297
1424844,283297
1424844,311916
48594,2301
48594,11659
48594,12565
48594,169826
48594,171040
48594,180523
48594,209043
48594,226769
48594,255541
48594,280856
1474010,2356
1474010,155951
1474010,193686
1474010,208176
1474010,331747
1320420,10235
1320420,9872
1320420,187056
1320420,252606
1320420,273967
1320420,312898
1312228,163053
1564149,3230
1230368,894
1230368,818
1230368,5565
1230368,159315
1230368,163133
1230368,208289
1248842,234680
1248842,251619
1248842,282080
1248842,329113
1566286,269769
1465948,818
1480308,6656
1480308,322268
1480308,328540
1480308,350655
1480308,359901
1480308,359985
1140346,158718
1140346,258533
1140346,265587
1140346,293016
1140346,338754
1556122,2804
1556122,9649
1556122,164124
1556122,192947
1556122,193460
1076897,3968
1076897,10466
1076897,10982
1076897,177128
1076897,177129
1076897,269769
1214130,325747
1400501,352721
